"Order"	"time_BodyAcc-mean()-X"	"time_BodyAcc-mean()-Y"	"time_BodyAcc-mean()-Z"	"time_BodyAcc-std()-X"	"time_BodyAcc-std()-Y"	"time_BodyAcc-std()-Z"	"time_GravityAcc-mean()-X"	"time_GravityAcc-mean()-Y"	"time_GravityAcc-mean()-Z"	"time_GravityAcc-std()-X"	"time_GravityAcc-std()-Y"	"time_GravityAcc-std()-Z"	"time_BodyAccJerk-mean()-X"	"time_BodyAccJerk-mean()-Y"	"time_BodyAccJerk-mean()-Z"	"time_BodyAccJerk-std()-X"	"time_BodyAccJerk-std()-Y"	"time_BodyAccJerk-std()-Z"	"time_BodyGyro-mean()-X"	"time_BodyGyro-mean()-Y"	"time_BodyGyro-mean()-Z"	"time_BodyGyro-std()-X"	"time_BodyGyro-std()-Y"	"time_BodyGyro-std()-Z"	"time_BodyGyroJerk-mean()-X"	"time_BodyGyroJerk-mean()-Y"	"time_BodyGyroJerk-mean()-Z"	"time_BodyGyroJerk-std()-X"	"time_BodyGyroJerk-std()-Y"	"time_BodyGyroJerk-std()-Z"	"time_BodyAccMag-mean()"	"time_BodyAccMag-std()"	"time_GravityAccMag-mean()"	"time_GravityAccMag-std()"	"time_BodyAccJerkMag-mean()"	"time_BodyAccJerkMag-std()"	"time_BodyGyroMag-mean()"	"time_BodyGyroMag-std()"	"time_BodyGyroJerkMag-mean()"	"time_BodyGyroJerkMag-std()"	"freq_BodyAcc-mean()-X"	"freq_BodyAcc-mean()-Y"	"freq_BodyAcc-mean()-Z"	"freq_BodyAcc-std()-X"	"freq_BodyAcc-std()-Y"	"freq_BodyAcc-std()-Z"	"freq_BodyAccJerk-mean()-X"	"freq_BodyAccJerk-mean()-Y"	"freq_BodyAccJerk-mean()-Z"	"freq_BodyAccJerk-std()-X"	"freq_BodyAccJerk-std()-Y"	"freq_BodyAccJerk-std()-Z"	"freq_BodyGyro-mean()-X"	"freq_BodyGyro-mean()-Y"	"freq_BodyGyro-mean()-Z"	"freq_BodyGyro-std()-X"	"freq_BodyGyro-std()-Y"	"freq_BodyGyro-std()-Z"	"freq_BodyAccMag-mean()"	"freq_BodyAccMag-std()"	"freq_BodyBodyAccJerkMag-mean()"	"freq_BodyBodyAccJerkMag-std()"	"freq_BodyBodyGyroMag-mean()"	"freq_BodyBodyGyroMag-std()"	"freq_BodyBodyGyroJerkMag-mean()"	"freq_BodyBodyGyroJerkMag-std()"
"1"	"WALKING 1"	0.271955640141414	-0.0172440081767677	-0.112647412991919	-0.960106602914141	-0.951462277848485	-0.952398875161616	-0.348691333914141	0.678393442777778	0.603866666691919	-0.943664621742424	-0.974419599191919	-0.954889977525253	0.081100748550505	0.012401314860404	-0.00244022737590909	-0.97804185510101	-0.96603268969697	-0.976332394090909	-0.0113737480050505	-0.104902803689899	0.139246699262626	-0.968843273737374	-0.959003331161616	-0.959716157323232	-0.102220804975758	-0.0363605967735354	-0.0677162618333333	-0.970994800252525	-0.977984728232323	-0.980665501767677	-0.951151911712121	-0.938173633606061	-0.951151911712121	-0.938173633606061	-0.976137970808081	-0.969662608030303	-0.934147050151515	-0.937303973070707	-0.97961471020202	-0.973273430959596	-0.96531360969697	-0.95494183449495	-0.960990320959596	-0.958514011430808	-0.952344224070707	-0.951098051570707	-0.977803513989899	-0.966571056616162	-0.972931742222222	-0.980441986010101	-0.967980255252525	-0.978387330555556	-0.961287946863636	-0.963293241212121	-0.958001737272727	-0.971460803030303	-0.957204370606061	-0.964051073232323	-0.948874578787879	-0.941947884337374	-0.96956652479798	-0.968786478989899	-0.951135497222222	-0.939458353353535	-0.974776405555556	-0.973021561767677
"2"	"WALKING 3"	0.271510293753125	-0.018810783798125	-0.110523772034375	-0.9710466573125	-0.96656311034375	-0.966794521859375	-0.4090487017625	0.66000735621875	0.584721768125	-0.96101933590625	-0.98309259615625	-0.97101556650625	0.0790921425778125	0.0125276085177812	-0.000639328335473438	-0.98520427871875	-0.9790955095625	-0.98413214096875	-0.0229624658160625	-0.0889783414066875	0.111824862984375	-0.9754979055625	-0.97183603496875	-0.97438835196875	-0.1013132800125	-0.0385777346872187	-0.061161847553125	-0.97975380271875	-0.98635303584375	-0.988880858375	-0.96692536359375	-0.956982639815625	-0.96692536359375	-0.956982639815625	-0.984671662875	-0.9817352400625	-0.95674733634375	-0.95587338940625	-0.987144277875	-0.98248997875	-0.97598660440625	-0.97110098109375	-0.97302675325	-0.969430872125	-0.966054498278125	-0.965614325978125	-0.9851539574375	-0.97914656946875	-0.98159730628125	-0.9866636596875	-0.9806266835	-0.98529275921875	-0.97068004740625	-0.97612674378125	-0.974008178	-0.97720640196875	-0.96999423109375	-0.97689052021875	-0.966214270915625	-0.958551977615625	-0.9815118459375	-0.98091827203125	-0.96529670465625	-0.9574509005625	-0.9832634246875	-0.98252641271875
"3"	"WALKING 5"	0.276363212889297	-0.00609844393284404	-0.112597962529052	-0.95529665617737	-0.922264451929664	-0.928065012211009	-0.394885000801223	0.527482561336391	0.494326585798165	-0.929608118593272	-0.934423839266055	-0.920682717825688	0.0848887675590214	0.0126748424404281	-0.0106339730459052	-0.98006499706422	-0.970004650428135	-0.978690514984709	-0.0137985037806728	-0.0912266560623853	0.130093539223242	-0.962436040214067	-0.961608541987768	-0.957379624495413	-0.10449965855841	-0.0375742220196911	-0.0632174605932722	-0.973621264464832	-0.980581438899083	-0.98286703	-0.904193956504587	-0.905553559238532	-0.904193956504587	-0.905553559238532	-0.978190629877676	-0.973506677767584	-0.921969839357798	-0.933510580764526	-0.98166111235474	-0.975895849541284	-0.962212820366973	-0.938902482501529	-0.9457120282263	-0.953040970394495	-0.91937364869419	-0.92460550066055	-0.979871151957187	-0.970548951070336	-0.97579699911315	-0.982180590214067	-0.971628255045872	-0.980242566697248	-0.956894314311927	-0.96615273440367	-0.958625660764526	-0.964512121651376	-0.959666606422018	-0.960979283394495	-0.929552553651376	-0.908951761314985	-0.973460068379205	-0.972645167400612	-0.950568614495413	-0.934744260733945	-0.977208174740061	-0.975763827094801
"4"	"WALKING 6"	0.261080388755769	-0.020081120003956	-0.0987160493546703	-0.950882097675824	-0.932239865167582	-0.928823656072527	-0.362506963142857	0.553314268881868	0.587262905398901	-0.930839736373626	-0.960961396175824	-0.93651524103022	0.0814063681164835	0.00934514112208791	-0.00138422303173077	-0.976872716703297	-0.967266041346154	-0.974987466538462	-0.0181667391135286	-0.10711088233956	0.123989764239011	-0.95655228503022	-0.953925571401099	-0.959372230906593	-0.100870758185714	-0.0369696392854396	-0.0629517873258242	-0.970240252912088	-0.975899094285714	-0.983585704725275	-0.927308188964286	-0.911415992857143	-0.927308188964286	-0.911415992857143	-0.975538830082418	-0.968417660027473	-0.926050819368132	-0.920984257142857	-0.979101092802198	-0.970649706126374	-0.96003139967033	-0.94332296475	-0.947950205521978	-0.947979350038462	-0.930905513337912	-0.924601870604121	-0.976672703736264	-0.967280333186813	-0.971736016346154	-0.979293869203297	-0.969744659368132	-0.976871028873626	-0.950307735770055	-0.959925016098901	-0.960496160302198	-0.958942254093407	-0.95148131543956	-0.962785154752747	-0.935037606802198	-0.91405039298544	-0.968899423901099	-0.966959524587912	-0.939857008269231	-0.923173190027473	-0.972326800631868	-0.970477873214286
"5"	"WALKING 7"	0.263319953649717	-0.0301321764315819	-0.103353049477401	-0.958546024067797	-0.935497688700565	-0.947809330531073	-0.362693060615819	0.610381051488701	0.590350863675141	-0.938738477644068	-0.952658899870056	-0.955006433353107	0.0830211893039548	0.0148605615479944	-0.0109465061859774	-0.980244042570621	-0.97075836079096	-0.979445222146893	-0.0144316801589096	-0.0871530243946328	0.133511444514407	-0.969118486525424	-0.962524783050847	-0.960654637259887	-0.100214401903955	-0.03962481105	-0.0665449244036723	-0.978126594548023	-0.979154649915254	-0.986260825028249	-0.936117390220339	-0.929051103209039	-0.936117390220339	-0.929051103209039	-0.978892215677966	-0.974281451327684	-0.937372458163842	-0.941705930169492	-0.98258097319209	-0.976996738841808	-0.964776415875706	-0.948832255892655	-0.960311133898305	-0.956518124491525	-0.933403252022599	-0.945135591033898	-0.980027704435028	-0.970961061920904	-0.976711974293785	-0.982357944124294	-0.972725939774011	-0.980780354915254	-0.965902370141243	-0.967094349152542	-0.963629525310734	-0.970474648728814	-0.960593217033898	-0.963522676016949	-0.945418829638418	-0.931781082949153	-0.974147827570621	-0.973448380367232	-0.956948281073446	-0.942629938333333	-0.978123993813559	-0.976903371186441
"6"	"WALKING 8"	0.270087023897638	-0.0162871118806299	-0.109826555439895	-0.969522769107612	-0.9564469132021	-0.965889559475066	-0.366487482879265	0.719688310131234	0.496171619254593	-0.956222647349081	-0.977249792693176	-0.972736297821522	0.0812699370073491	0.00642473073882677	-0.00237116039506037	-0.981299908818898	-0.972181146036745	-0.9821930667979	-0.0175339945118845	-0.0857610189501312	0.121863514748031	-0.97538853152231	-0.968943031574803	-0.968208652624672	-0.102362168952756	-0.039217591496273	-0.0629946852440945	-0.981653623674541	-0.982332144330709	-0.984893803963255	-0.963721156614173	-0.9537289497979	-0.963721156614173	-0.9537289497979	-0.980890432703412	-0.976479937375328	-0.952238268110236	-0.953262564225722	-0.985147069606299	-0.980093018635171	-0.972202061968504	-0.96036418832021	-0.972122143884514	-0.968601575879265	-0.956779503307087	-0.964667060236221	-0.981084885301837	-0.972393802965879	-0.979615370446194	-0.983335545905512	-0.97400658488189	-0.983407901154856	-0.97167534191601	-0.971629533937008	-0.967956725275591	-0.976732284173228	-0.967898927900262	-0.971248693464567	-0.961192594979003	-0.956544949608924	-0.976725191706037	-0.975133846850394	-0.964077985721785	-0.954562976587927	-0.98107693664042	-0.980012864671916
"7"	"WALKING_UPSTAIRS 8"	0.251033707977273	0.0103250002727273	-0.0956676115909091	-0.972576393636364	-0.900038378636364	-0.923053488181818	0.890554993636364	0.1180255013	0.158943524136364	-0.956848886818182	-0.917065048636364	-0.923303419090909	0.0799202691818182	-0.00438653170909091	-0.00111823097272727	-0.980960038181818	-0.968217873181818	-0.981702255454545	-0.0508470873772727	-0.0487313942681818	0.0798221330454545	-0.977031470454545	-0.955776997727273	-0.940273399545455	-0.0903023324090909	-0.0471357248409091	-0.0422695673409091	-0.986521449090909	-0.984685665909091	-0.980941252272727	-0.922567117727273	-0.901318605	-0.922567117727273	-0.901318605	-0.979889184545454	-0.974548153181818	-0.926635685454545	-0.935797351818182	-0.987238326363636	-0.982405635909091	-0.976138543636364	-0.930806224545455	-0.949771932727273	-0.971756502727273	-0.892914224090909	-0.915788191363636	-0.981209896818182	-0.968250438181818	-0.978697470454545	-0.98242872	-0.970565852272727	-0.983367976818182	-0.973373636363636	-0.963660888181818	-0.946395164545455	-0.978275780454545	-0.952046841818182	-0.944060716818182	-0.936858386363636	-0.901210702727273	-0.974842368636364	-0.973228159545454	-0.953148771818182	-0.936270161818182	-0.983538418181818	-0.981914655
"8"	"WALKING_UPSTAIRS 11"	0.269834390905914	-0.0137323399137903	-0.101249052603495	-0.981045982016129	-0.92629624730914	-0.926004224365591	0.884703540564516	0.0989612470418011	0.143183881676505	-0.978609290564516	-0.956478619758064	-0.944423471212366	0.0758191130147849	0.00596528439766183	-0.00555299232430108	-0.982727278575269	-0.971287553709677	-0.980032669865591	-0.0336649699425269	-0.0818291791847581	0.0905167248219355	-0.978755240672043	-0.961868594489247	-0.954434970456989	-0.0975681472043011	-0.0392309223382796	-0.0552972094250806	-0.98254338983871	-0.984558759408602	-0.981499251747312	-0.948117605806452	-0.930523077983871	-0.948117605806452	-0.930523077983871	-0.979941356370968	-0.976631443360215	-0.947639313951613	-0.947518312817204	-0.985659642446237	-0.982570350860215	-0.980829502446237	-0.942493999811828	-0.948968752774194	-0.981326647903226	-0.923200294172043	-0.920282900621505	-0.983117557311828	-0.971706651747312	-0.977315509462366	-0.983890537553763	-0.97294247327957	-0.981357014193548	-0.974436665080645	-0.969543165833333	-0.959223824435484	-0.98029976327957	-0.958429763494624	-0.957371101639785	-0.94573691852957	-0.933611621397849	-0.976657095591398	-0.975607376639785	-0.962732608306452	-0.947592041365591	-0.983475092446237	-0.98244079016129
"9"	"WALKING_UPSTAIRS 14"	0.27623283405868	-0.0148499589189731	-0.108762869022005	-0.985847132127139	-0.942306623186626	-0.946728139875306	0.886821081295843	0.0949050633015844	0.180372040897531	-0.98176936794621	-0.961449130872861	-0.949615670799511	0.0745651844323472	0.0113509854604621	0.00237149212055257	-0.987022666748166	-0.976250319315403	-0.98419911594132	-0.0407289163787286	-0.0721444088327628	0.0492065207408313	-0.982949339853301	-0.973336606772616	-0.959338184254279	-0.0942571204865526	-0.0404325188196577	-0.0447801707513447	-0.987531230953545	-0.988059700268949	-0.985744258557457	-0.960572523789731	-0.947150773137408	-0.960572523789731	-0.947150773137408	-0.984493551466993	-0.98151223806846	-0.946605283349633	-0.956018613716381	-0.98952167599022	-0.986506295452323	-0.985169476894866	-0.953225817726161	-0.961468128337408	-0.986231053814181	-0.940344454799511	-0.942963285158924	-0.987090337652812	-0.976295315892421	-0.981551268777506	-0.988172210757946	-0.978012109779951	-0.985489037139364	-0.979215269608802	-0.976926841784841	-0.962070652102689	-0.984194128337408	-0.971661844449878	-0.962269986185819	-0.957502054229829	-0.949798658415648	-0.980992347628362	-0.981112159266504	-0.967575345550122	-0.956423639633252	-0.987006916919315	-0.98651503608802
"10"	"WALKING_UPSTAIRS 15"	0.27607723092602	-0.0112616555124745	-0.10485294313699	-0.98371781630102	-0.932758452408163	-0.937844196173469	0.880208331479592	0.122406168935714	0.140917865046837	-0.979401481709184	-0.953629000737245	-0.944536498193878	0.0749982471370663	-0.000835177113528061	-0.00253503473012245	-0.985669592959184	-0.973852809285714	-0.981664043979592	-0.0378554798721173	-0.0660442514969388	0.0901353188168878	-0.98014563877551	-0.966754369234694	-0.958837524132653	-0.0952300890571429	-0.0419255934897704	-0.0517106461823469	-0.986265959540816	-0.986855743188776	-0.983883687066327	-0.954246848877551	-0.936072647920918	-0.954246848877551	-0.936072647920918	-0.982582616632653	-0.978324195382653	-0.94578860627551	-0.950064243469388	-0.988337792882653	-0.984543881096939	-0.983326030331633	-0.945271616367347	-0.956334735204082	-0.984045182704082	-0.930728107813775	-0.93305029175	-0.985870485280612	-0.973935439158163	-0.978953422346939	-0.98678484744898	-0.975779869183673	-0.98300513619898	-0.976611168903061	-0.972034142219388	-0.960642389056122	-0.981440282397959	-0.964298733112245	-0.962135588469388	-0.949948130581633	-0.938988187196429	-0.978359524107143	-0.977259916045918	-0.962524509005102	-0.95105071502551	-0.985319875331633	-0.984348349132653
